,Channel Title,Channel Username,ID,Message,Date,Media Path
76,Dubai in Addis,@dubaiinaddis1,31319,"ተጣጣፊ የልጆች ዛንዚራ(አጎበር)

1500 ብር

0913870090

ለማዘዝ

@KiDu_W",2024-09-20 11:02:22+00:00,photos\@dubaiinaddis1_31319.jpg
78,Dubai in Addis,@dubaiinaddis1,31317,"2 ፍሬ  100% ኮተን ኮፍያ

600 ብር

0913870090

ለማዘዝ

@KiDu_W",2024-09-19 17:23:39+00:00,photos\@dubaiinaddis1_31317.jpg
80,Dubai in Addis,@dubaiinaddis1,31315,"2 ፍሬ  100% ኮተን ኮፍያ

600 ብር

0913870090

ለማዘዝ

@KiDu_W",2024-09-19 17:23:07+00:00,photos\@dubaiinaddis1_31315.jpg
82,Dubai in Addis,@dubaiinaddis1,31313,"2 ፍሬ  100% ኮተን ኮፍያ

600 ብር

0913870090

ለማዘዝ

@KiDu_W",2024-09-19 17:22:28+00:00,photos\@dubaiinaddis1_31313.jpg
84,Dubai in Addis,@dubaiinaddis1,31311,"3 ፍሬ  ሱሪ

ከ 3-6 ወር

1200 ብር

0913870090

ለማዘዝ

@KiDu_W",2024-09-19 10:02:07+00:00,photos\@dubaiinaddis1_31311.jpg
85,Dubai in Addis,@dubaiinaddis1,31310,"3 ፍሬ  ሱሪ

ከ 0-3  ወር

1200 ብር

0913870090

ለማዘዝ

@KiDu_W",2024-09-19 09:59:00+00:00,photos\@dubaiinaddis1_31310.jpg
86,Dubai in Addis,@dubaiinaddis1,31309,"3 ፍሬ  ሱሪ

ከ 0-3  ወር

1200 ብር

0913870090

ለማዘዝ

@KiDu_W",2024-09-19 09:53:11+00:00,photos\@dubaiinaddis1_31309.jpg
87,Dubai in Addis,@dubaiinaddis1,31308,"3 ፍሬ  ሱሪ

ከ 3-6 ወር

1200 ብር

0913870090

ለማዘዝ

@KiDu_W",2024-09-19 09:48:52+00:00,photos\@dubaiinaddis1_31308.jpg
88,Dubai in Addis,@dubaiinaddis1,31307,"3 ፍሬ  ሱሪ

ከ 0-3  ወር

1200 ብር

0913870090

ለማዘዝ

@KiDu_W",2024-09-19 09:43:02+00:00,photos\@dubaiinaddis1_31307.jpg
90,Dubai in Addis,@dubaiinaddis1,31305,"ተጣጣፊ የገላ ማጠብያ
ከእስፖንጁ ጋር
ትልቅ ሳይዝ

ሁሉንም በ 4000 ብር ብቻ 

0913870090

ለማዘዝ

@KiDu_W",2024-09-19 09:34:32+00:00,photos\@dubaiinaddis1_31305.jpg
91,Dubai in Addis,@dubaiinaddis1,31304,"3 ፍሬ  ጀምሱት

ከ6-9 ወር

2200 ብር

0913870090

ለማዘዝ

@KiDu_W",2024-09-19 08:34:16+00:00,photos\@dubaiinaddis1_31304.jpg
92,Dubai in Addis,@dubaiinaddis1,31303,"3 ፍሬ  ጀምሱት

ከ0-3 ወር

2200 ብር

0913870090

ለማዘዝ

@KiDu_W",2024-09-19 08:31:27+00:00,photos\@dubaiinaddis1_31303.jpg
93,Dubai in Addis,@dubaiinaddis1,31302,"3 ፍሬ  ጀምሱት

ከ9-12 ወር

2200 ብር

0913870090

ለማዘዝ

@KiDu_W",2024-09-19 08:28:31+00:00,photos\@dubaiinaddis1_31302.jpg
94,Dubai in Addis,@dubaiinaddis1,31301,"3 ፍሬ  ጀምሱት

ከ9-12 ወር

2200 ብር

0913870090

ለማዘዝ

@KiDu_W",2024-09-19 08:23:16+00:00,photos\@dubaiinaddis1_31301.jpg
95,Dubai in Addis,@dubaiinaddis1,31300,"3 ፍሬ  ጀምሱት

ከ6-9 ወር

2200 ብር

0913870090

ለማዘዝ

@KiDu_W",2024-09-19 08:17:33+00:00,photos\@dubaiinaddis1_31300.jpg
96,Dubai in Addis,@dubaiinaddis1,31299,"3 ፍሬ  ጀምሱት

ከ6-9 ወር

2200 ብር

0913870090

ለማዘዝ

@KiDu_W",2024-09-19 08:12:01+00:00,photos\@dubaiinaddis1_31299.jpg
97,Dubai in Addis,@dubaiinaddis1,31298,"3 ፍሬ  ጀምሱት

ከ6-9 ወር

2200 ብር

0913870090

ለማዘዝ

@KiDu_W",2024-09-19 08:08:11+00:00,photos\@dubaiinaddis1_31298.jpg
98,Dubai in Addis,@dubaiinaddis1,31297,"3 ፍሬ  ጀምሱት

ከ6-9 ወር

2200 ብር

0913870090

ለማዘዝ

@KiDu_W",2024-09-19 08:05:20+00:00,photos\@dubaiinaddis1_31297.jpg
99,Dubai in Addis,@dubaiinaddis1,31296,"3 ፍሬ  ጀምሱት

ከ6-9 ወር

2200 ብር

0913870090

ለማዘዝ

@KiDu_W",2024-09-19 08:01:06+00:00,photos\@dubaiinaddis1_31296.jpg
100,Dubai in Addis,@dubaiinaddis1,31295,"3 ፍሬ  ጀምሱት

ከ6-9 ወር

2200 ብር

0913870090

ለማዘዝ

@KiDu_W",2024-09-19 07:55:12+00:00,photos\@dubaiinaddis1_31295.jpg
104,Dubai in Addis,@dubaiinaddis1,31291,"ባለ ፓርቲሽን የምሳ እቃ ከማንኪያ , ሹካ  እንዲሁም  የማዮኒዝ ( የካች አፕ ) መቀነሻ  ጋር

800 ብር

0913870090

ለማዘዝ 

@KiDu_W",2024-09-18 15:40:16+00:00,photos\@dubaiinaddis1_31291.jpg
107,Dubai in Addis,@dubaiinaddis1,31288,"3 የምሳ እቃ ከማንኪያ እና ሹካ ጋር

1100 ብር

0913870090

ለማዘዝ


@KiDu_W",2024-09-18 11:24:02+00:00,photos\@dubaiinaddis1_31288.jpg
109,Dubai in Addis,@dubaiinaddis1,31286,"3 ፍሬ  ጀምሱት

ከ3-6 ወር

2200 ብር

0913870090

ለማዘዝ

@KiDu_W",2024-09-18 06:46:02+00:00,photos\@dubaiinaddis1_31286.jpg
110,Dubai in Addis,@dubaiinaddis1,31285,"3 ፍሬ  ጀምሱት

ከ3-6 ወር

2200 ብር

0913870090

ለማዘዝ

@KiDu_W",2024-09-18 06:45:42+00:00,photos\@dubaiinaddis1_31285.jpg
111,Dubai in Addis,@dubaiinaddis1,31284,"3 ፍሬ  ጀምሱት

ከ3-6 ወር

2200 ብር

0913870090

ለማዘዝ

@KiDu_W",2024-09-18 06:45:20+00:00,photos\@dubaiinaddis1_31284.jpg
112,Dubai in Addis,@dubaiinaddis1,31283,"3 ፍሬ  ጀምሱት

ከ3-6 ወር

2200 ብር

0913870090

ለማዘዝ

@KiDu_W",2024-09-18 06:44:57+00:00,photos\@dubaiinaddis1_31283.jpg
117,Dubai in Addis,@dubaiinaddis1,31278,"5 ፍሬ እጅጌ ጉርድ የዳይፐር ቲሸርት

ከ 0-3  ወር

2000 ብር

0913870090

ለማዘዝ 


@KiDu_W",2024-09-17 16:32:15+00:00,photos\@dubaiinaddis1_31278.jpg
122,Dubai in Addis,@dubaiinaddis1,31273,"5 ፍሬ እጅጌ ጉርድ የዳይፐር ቲሸርት

ከ 3-6  ወር

2000 ብር

0913870090

ለማዘዝ 


@KiDu_W",2024-09-17 16:31:02+00:00,photos\@dubaiinaddis1_31273.jpg
127,Dubai in Addis,@dubaiinaddis1,31268,"5 ፍሬ እጅጌ ጉርድ የዳይፐር ቲሸርት

ከ 0-3  ወር

2000 ብር

0913870090

ለማዘዝ 


@KiDu_W",2024-09-17 16:29:08+00:00,photos\@dubaiinaddis1_31268.jpg
132,Dubai in Addis,@dubaiinaddis1,31263,"5 ፍሬ እጅጌ ጉርድ የዳይፐር ቲሸርት

ከ 3-6  ወር

2000 ብር

0913870090

ለማዘዝ 


@KiDu_W",2024-09-17 16:28:03+00:00,photos\@dubaiinaddis1_31263.jpg
137,Dubai in Addis,@dubaiinaddis1,31258,"5 ፍሬ እጅጌ ጉርድ የዳይፐር ቲሸርት

ከ 3-6  ወር

2000 ብር

0913870090

ለማዘዝ 


@KiDu_W",2024-09-17 16:26:43+00:00,photos\@dubaiinaddis1_31258.jpg
138,Dubai in Addis,@dubaiinaddis1,31257,"ከ 2-3 አመት 

800 ብር

0913870090

ለማዘዝ

@KiDu_W",2024-09-17 16:18:18+00:00,photos\@dubaiinaddis1_31257.jpg
139,Dubai in Addis,@dubaiinaddis1,31255,"ከ 1-2 አመት 

750 ብር

0913870090

ለማዘዝ

@KiDu_W",2024-09-17 16:06:35+00:00,photos\@dubaiinaddis1_31255.jpg
140,Dubai in Addis,@dubaiinaddis1,31254,"ከ 6-9 ወር 

750 ብር

0913870090

ለማዘዝ

@KiDu_W",2024-09-17 16:03:41+00:00,photos\@dubaiinaddis1_31254.jpg
141,Dubai in Addis,@dubaiinaddis1,31252,"ከ 1 አመት - አመት ከ 6 ወር 

750 ብር

0913870090

ለማዘዝ

@KiDu_W",2024-09-17 16:00:22+00:00,photos\@dubaiinaddis1_31252.jpg
142,Dubai in Addis,@dubaiinaddis1,31251,"ከ 6-9 ወር 

1000  ብር

0913870090

ለማዘዝ

@KiDu_W",2024-09-17 15:56:46+00:00,photos\@dubaiinaddis1_31251.jpg
143,Dubai in Addis,@dubaiinaddis1,31250,"ከ 0-3 ወር እና  ከ3-6 ወር 

1000  ብር

0913870090

ለማዘዝ

@KiDu_W",2024-09-17 15:56:20+00:00,photos\@dubaiinaddis1_31250.jpg
145,Dubai in Addis,@dubaiinaddis1,31248,"ኳሊቲ  የልጆች ቦርሳ

ለ KG ተማሪዎች 


1500 ብር

0913870090

ለማዘዝ

@KiDu_W",2024-09-16 15:03:18+00:00,photos\@dubaiinaddis1_31248.jpg
147,Dubai in Addis,@dubaiinaddis1,31244,"ኳሊቲ  የልጆች ቦርሳ

ለ KG ተማሪዎች 


1500 ብር

0913870090

ለማዘዝ

@KiDu_W",2024-09-16 14:59:37+00:00,photos\@dubaiinaddis1_31244.jpg
148,Dubai in Addis,@dubaiinaddis1,31243,"ባለ 3 ፓርቲሽን የምሳ እቃ ከ ውሀ መያዣ እና ሹካ ማንኪያ ጋር

1200 ብር

0913870090

ለማዘዝ

@KiDu_W",2024-09-16 14:26:22+00:00,photos\@dubaiinaddis1_31243.jpg
